provincia,localidad,precio_medio,precio_m2_medio
Ciudad Autonoma de Buenos Aires,"San Nicolás, Capital Federal",389.1463414634146,8.739147271491698
Ciudad Autonoma de Buenos Aires,"San Telmo, Capital Federal",497.8741721854304,9.986200692199612
Ciudad Autonoma de Buenos Aires,"Tribunales, Capital Federal",403.8888888888889,8.129415232144254
Ciudad Autonoma de Buenos Aires,"Velez Sarsfield, Capital Federal",405.0,7.886206583015094
Ciudad Autonoma de Buenos Aires,"Versalles, Capital Federal",365.7142857142857,7.0195839874411305
Ciudad Autonoma de Buenos Aires,"Villa Crespo, Capital Federal",463.4909638554217,9.729160063068866
Ciudad Autonoma de Buenos Aires,"Villa Devoto, Capital Federal",541.1734693877551,8.28175776931389
Ciudad Autonoma de Buenos Aires,"Villa General Mitre, Capital Federal",354.61538461538464,8.610955021629836
Ciudad Autonoma de Buenos Aires,"Villa Lugano, Capital Federal",315.7142857142857,6.838415495657844
Ciudad Autonoma de Buenos Aires,"Villa Luro, Capital Federal",391.4634146341463,7.900150156041757
Ciudad Autonoma de Buenos Aires,"Villa Ortuzar, Capital Federal",373.9705882352941,8.693146030018687
Ciudad Autonoma de Buenos Aires,"Villa Pueyrredón, Capital Federal",400.38461538461536,8.265948767879355
Ciudad Autonoma de Buenos Aires,"Villa Real, Capital Federal",350.0,7.275862068965518
Ciudad Autonoma de Buenos Aires,"Villa Santa Rita, Capital Federal",355.0,7.859106395912204
Ciudad Autonoma de Buenos Aires,"Villa Urquiza, Capital Federal",442.7142857142857,9.553670955966894
Ciudad Autonoma de Buenos Aires,"Villa del Parque, Capital Federal",414.0,7.807425407289297
Chaco,"Resistencia, Chaco",272.6666666666667,4.479153083944165
Cordoba,"Alberdi, Córdoba",259.2156862745098,4.995910840062081
Cordoba,"Alta Córdoba, Córdoba",287.8,5.1962591765517585
Cordoba,"Alto Alberdi, Córdoba",285.90909090909093,5.498437243569363
Cordoba,"Argüello, Córdoba",518.75,3.7927152072485435
Cordoba,"Centro, Córdoba",328.7304347826087,4.806612041301654
Cordoba,"Centro, Villa Carlos Paz",170.0,4.142857142857142
Cordoba,"Cerro de las Rosas, Córdoba",570.0,5.586515562125318
Cordoba,"Cofico, Córdoba",289.4117647058824,5.557612058258247
Cordoba,"Cuesta Colorada, La Calera",498.875,4.148585442833916
Cordoba,"Córdoba, Córdoba",699.8387096774194,4.784754545800065
Cordoba,"General Bustos, Córdoba",197.5,4.348484848484849
Cordoba,"General Paz, Córdoba",321.34328358208955,5.989578105921958
Cordoba,"General Pueyrredón, Córdoba",243.33333333333334,4.539330595546699
Cordoba,"Güemes, Córdoba",273.8709677419355,5.612176152838473
Cordoba,"Jardín, Córdoba",785.0,5.982370190677724
Cordoba,"Las Rosas, Córdoba",603.3333333333334,6.7565576186265845
Cordoba,"Manantiales, Córdoba",647.1428571428571,4.891910866910867
Cordoba,"Nueva Córdoba, Córdoba",332.2068965517241,6.351307514956184
Cordoba,"Observatorio, Córdoba",273.1818181818182,4.270464421199716
Cordoba,"Providencia, Córdoba",296.6666666666667,4.96715435730295
Cordoba,"Quebrada de las Rosas, Córdoba",407.5,5.686111111111111
Cordoba,"San Martín, Córdoba",242.0,4.019871794871795
Cordoba,"San Vicente, Córdoba",210.0,4.489818295739348
Cordoba,"URCA, Córdoba",900.0,3.506181379007466
Cordoba,"Valle Escondido, Córdoba",975.0,5.5
Cordoba,"Villa Belgrano, Córdoba",1378.5714285714287,5.511949821076199
Cordoba,"Villa Cabrera, Córdoba",307.85714285714283,5.071589918018489
Mendoza,"Ciudad de Mendoza, Mendoza",454.5098039215686,5.6333323278602
Mendoza,"Cuarta Sección, Ciudad de Mendoza",275.0,3.590909090909091
Mendoza,"Godoy Cruz, Mendoza",379.4166666666667,5.478777394886111
Mendoza,"Guaymallén, Mendoza",312.0,4.063085827216262
Mendoza,"Las Heras, Mendoza",277.0,4.120417482061318
Mendoza,"Luján de Cuyo, Mendoza",800.0,4.0
Mendoza,"Maipú, Mendoza",612.5,3.859070616883117
Mendoza,"Quinta Sección, Ciudad de Mendoza",411.5,5.576542359958959
Mendoza,"San José, Mendoza",279.6666666666667,4.476833976833976
Mendoza,"Sexta Sección, Ciudad de Mendoza",548.3333333333334,5.392307692307693
Mendoza,"Villa Nueva, Mendoza",470.0,4.911111111111111
Misiones,"Posadas, Misiones",363.84615384615387,5.592822189639166
Rio Negro,"San Carlos de Bariloche, Rio Negro",1000.0,7.6923076923076925
Salta,"Centro Ciudad, Salta",441.25,7.834114021894431
Salta,"Salta, Salta",548.0,6.302763271300423
Santa Fe,"Abasto, Rosario",223.0,4.661288151564432
Santa Fe,"Alberdi, Rosario",353.57142857142856,4.358981886765596
Santa Fe,"Alvear, Santa Fe",3062.0,3.4994285714285716
Santa Fe,"Arroyito, Rosario",230.0,4.254602483173912
Santa Fe,"Ciudad de Santa Fe, Santa Fe",365.7142857142857,4.657071622340854
Santa Fe,"Distrito Centro, Rosario",246.7887323943662,4.965592178758003
Santa Fe,"Echesortu, Rosario",197.98507462686567,4.847987885565327
Santa Fe,"Fisherton, Rosario",485.7142857142857,4.035065564865499
Santa Fe,"Funes, Santa Fe",2047.5,4.495833333333334
Santa Fe,"Granadero Baigorria, Santa Fe",270.0,3.6
Santa Fe,"Luis Agote, Distrito Centro",187.6315789473684,5.193303499195948
Santa Fe,"Martin, Rosario",246.75675675675674,5.184369036438838
Santa Fe,"Nuestra Señora de Lourdes, Distrito Centro",250.1851851851852,5.5196281196075
Santa Fe,"Pichincha, Rosario",209.07894736842104,5.266051862714419
Santa Fe,"Puerto Norte, Rosario",550.4761904761905,7.42307078059816
Santa Fe,"Rafaela, Santa Fe",245.0,4.641935941043084
Santa Fe,"República de la Sexta, Rosario",183.48387096774192,4.543360687414729
Santa Fe,"Rosario, Santa Fe",201.76923076923077,4.675908404568251
Tucuman,"San Miguel de Tucumán, Tucuman",256.7647058823529,4.559667761248211
Tucuman,"Yerba Buena, Tucuman",550.0,3.4375
