provincia,localidad,precio_medio,precio_m2_medio
Ciudad Autonoma de Buenos Aires,"Abasto, Capital Federal",418.1785714285714,9.524525479402666
Ciudad Autonoma de Buenos Aires,"Agronomía, Capital Federal",391.6666666666667,7.927731092436976
Ciudad Autonoma de Buenos Aires,"Almagro Norte, Almagro",425.8333333333333,9.069458422580668
Ciudad Autonoma de Buenos Aires,"Almagro Sur, Almagro",414.1666666666667,8.602315714437774
Ciudad Autonoma de Buenos Aires,"Almagro, Capital Federal",422.9065420560748,8.973140582393887
Ciudad Autonoma de Buenos Aires,"Balvanera, Capital Federal",403.1489361702128,7.981315296768798
Ciudad Autonoma de Buenos Aires,"Barracas, Capital Federal",507.9268292682927,8.2717196773247
Ciudad Autonoma de Buenos Aires,"Barrio Chino, Belgrano",507.27272727272725,12.1787602294692
Ciudad Autonoma de Buenos Aires,"Barrio Norte, Capital Federal",565.025,9.402395503230755
Ciudad Autonoma de Buenos Aires,"Barrio Parque General Belgrano, Belgrano",1096.6666666666667,12.544973544973544
Ciudad Autonoma de Buenos Aires,"Barrio Parque, Palermo",3283.333333333333,16.551416496729946
Ciudad Autonoma de Buenos Aires,"Belgrano C, Belgrano",651.0704225352113,10.976438001056511
Ciudad Autonoma de Buenos Aires,"Belgrano Chico, Belgrano",702.1785714285714,12.117752737517137
Ciudad Autonoma de Buenos Aires,"Belgrano R, Belgrano",603.2574257425742,10.83977406180576
Ciudad Autonoma de Buenos Aires,"Belgrano, Capital Federal",740.8678090575276,11.286572224235789
Ciudad Autonoma de Buenos Aires,"Boedo, Capital Federal",366.7058823529412,8.443966708466926
Ciudad Autonoma de Buenos Aires,"Botánico, Palermo",888.6016260162602,12.597208148237216
Ciudad Autonoma de Buenos Aires,"Caballito Norte, Caballito",427.1860465116279,8.824002314011722
Ciudad Autonoma de Buenos Aires,"Caballito Sur, Caballito",404.1428571428572,8.764760759067851
Ciudad Autonoma de Buenos Aires,"Caballito, Capital Federal",466.1467391304348,8.993493480552475
Ciudad Autonoma de Buenos Aires,"Centro / Microcentro, Capital Federal",406.327731092437,9.058333313082189
Ciudad Autonoma de Buenos Aires,"Chacarita, Capital Federal",480.18,9.599905637374292
Ciudad Autonoma de Buenos Aires,"Cid Campeador, Caballito",536.6666666666666,8.391325917006908
Ciudad Autonoma de Buenos Aires,"Coghlan, Capital Federal",489.2619047619048,10.4422660767834
Ciudad Autonoma de Buenos Aires,"Colegiales, Capital Federal",592.5932203389831,10.960144172337785
Ciudad Autonoma de Buenos Aires,"Congreso, Capital Federal",362.258064516129,7.7707516806569235
Ciudad Autonoma de Buenos Aires,"Constitución, Capital Federal",335.27272727272725,6.811297000717072
Ciudad Autonoma de Buenos Aires,"Distrito Quartier, Retiro",741.25,12.897364149008885
Ciudad Autonoma de Buenos Aires,"Flores Norte, Flores",422.68,7.3924215283566
Ciudad Autonoma de Buenos Aires,"Flores Sur, Flores",375.0,7.627891118790242
Ciudad Autonoma de Buenos Aires,"Flores, Capital Federal",362.2307692307692,8.131270186270076
Ciudad Autonoma de Buenos Aires,"Floresta Norte, Floresta",601.0,8.050630252100841
Ciudad Autonoma de Buenos Aires,"Floresta Sur, Floresta",277.5,7.453716216216216
Ciudad Autonoma de Buenos Aires,"Floresta, Capital Federal",384.4791666666667,7.342053778091098
Ciudad Autonoma de Buenos Aires,"La Boca, Capital Federal",326.25,7.846926110848224
Ciudad Autonoma de Buenos Aires,"La Paternal, Capital Federal",358.38235294117646,7.869968224131133
Ciudad Autonoma de Buenos Aires,"Las Cañitas, Palermo",816.5405405405405,12.460691643751057
Ciudad Autonoma de Buenos Aires,"Liniers, Capital Federal",308.2608695652174,6.833402205349753
Ciudad Autonoma de Buenos Aires,"Lomas de Núñez, Núñez",611.9354838709677,11.359763313612827
Ciudad Autonoma de Buenos Aires,"Mataderos, Capital Federal",438.27777777777777,6.756115299994978
Ciudad Autonoma de Buenos Aires,"Monserrat, Capital Federal",402.8196721311475,8.814184291377291
Ciudad Autonoma de Buenos Aires,"Monte Castro, Capital Federal",348.8095238095238,7.931198680790322
Ciudad Autonoma de Buenos Aires,"Núñez, Capital Federal",673.0130293159609,11.651037486256032
Ciudad Autonoma de Buenos Aires,"Once, Capital Federal",431.5853658536585,8.144000151093532
Ciudad Autonoma de Buenos Aires,"Palermo Chico, Palermo",1365.4583333333333,14.930048988341785
Ciudad Autonoma de Buenos Aires,"Palermo Hollywood, Palermo",823.3541666666666,14.394255678614307
Ciudad Autonoma de Buenos Aires,"Palermo Nuevo, Palermo",1129.8902439024391,15.927968813090663
Ciudad Autonoma de Buenos Aires,"Palermo Soho, Palermo",645.4368932038835,12.417025775442896
Ciudad Autonoma de Buenos Aires,"Palermo Soho, Recoleta",800.0,10.0
Ciudad Autonoma de Buenos Aires,"Palermo Viejo, Palermo",569.6052631578947,9.971688595450216
